Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
08:14:00:2,8.041,0.019,-0.003,0.005,28.137,-67.189,20.371
08:14:00:248,8.089,0.016,-0.006,0.004,28.128,-67.188,20.383
08:14:00:248,8.089,0.023,0.014,0.001,28.125,-67.190,20.377
08:14:00:248,8.089,0.022,0.009,0.009,28.085,-67.162,20.355
08:14:00:327,8.168,0.024,0.006,0.000,28.055,-67.148,20.354
08:14:00:327,8.168,0.011,0.002,0.000,28.069,-67.145,20.375
08:14:00:328,8.169,0.012,0.007,0.006,28.055,-67.148,20.354
08:14:00:375,8.216,0.023,0.002,0.006,28.037,-67.125,20.338
08:14:00:376,8.217,0.020,0.015,-0.009,28.035,-67.104,20.379
08:14:00:457,8.298,0.014,0.015,0.001,28.107,-67.109,20.434
08:14:00:46,8.301,0.014,-0.005,0.008,28.177,-67.147,20.412
08:14:00:507,8.348,0.017,-0.005,0.012,28.201,-67.151,20.373
08:14:00:507,8.348,0.012,-0.010,0.012,28.245,-67.144,20.355
08:14:00:557,8.398,0.016,-0.023,0.011,28.282,-67.144,20.338
08:14:00:586,8.427,0.010,-0.030,0.029,28.362,-67.217,20.146
08:14:00:691,8.532,0.010,-0.004,-0.007,28.186,-67.045,20.025
08:14:00:77,8.611,0.016,0.020,-0.016,28.012,-66.828,20.178
08:14:00:823,8.664,0.010,0.013,-0.027,27.991,-66.807,20.217
08:14:00:823,8.664,0.011,0.012,-0.007,27.976,-66.825,20.222
08:14:00:845,8.686,0.004,-0.003,0.013,27.975,-66.863,20.180
08:14:00:9,8.741,0.015,0.000,0.002,27.986,-66.917,20.149
08:14:00:9,8.741,0.011,-0.007,-0.001,27.990,-66.931,20.172
08:14:00:953,8.794,0.014,0.002,0.011,28.004,-66.953,20.160
08:14:00:953,8.794,0.022,-0.010,0.019,27.992,-67.018,20.067
08:14:01:035,8.876,0.018,-0.004,0.005,27.979,-67.042,20.025
08:14:01:035,8.876,0.020,-0.010,0.007,27.973,-67.030,20.057
08:14:01:036,8.877,0.020,0.002,0.001,27.972,-67.032,20.091
08:14:01:084,8.925,0.021,-0.004,0.016,27.961,-67.037,20.060
08:14:01:085,8.926,0.018,-0.001,0.017,27.944,-67.051,20.041
08:14:01:169,9.010,0.013,-0.006,0.012,27.971,-67.043,20.072
08:14:01:169,9.010,0.016,-0.002,-0.002,27.972,-67.032,20.091
08:14:01:215,9.056,0.013,-0.010,0.002,27.958,-67.008,20.093
08:14:01:216,9.057,0.013,-0.001,0.003,27.960,-67.012,20.118
08:14:01:297,9.138,0.016,-0.007,0.004,27.952,-67.011,20.131
08:14:01:298,9.139,0.014,-0.008,-0.004,27.949,-67.005,20.177
08:14:01:299,9.140,0.011,0.001,-0.004,27.947,-67.011,20.195
08:14:01:347,9.188,0.015,0.008,0.002,27.931,-67.014,20.194
08:14:01:347,9.188,0.013,-0.007,0.012,27.916,-67.019,20.136
08:14:01:429,9.270,0.019,0.001,0.007,27.931,-67.019,20.096
08:14:01:429,9.270,0.010,-0.008,0.019,27.924,-67.024,20.000
08:14:01:429,9.270,0.023,-0.005,0.006,27.918,-67.001,19.989
08:14:01:479,9.320,0.012,-0.008,-0.005,27.927,-66.952,20.047
08:14:01:479,9.320,0.016,0.000,-0.002,27.934,-66.939,20.052
08:14:01:53,9.371,0.009,-0.011,0.002,27.931,-66.932,20.013
08:14:01:531,9.372,0.011,-0.003,0.005,27.946,-66.914,20.008
08:14:01:553,9.394,0.006,-0.002,-0.003,27.938,-66.906,20.023
08:14:01:609,9.450,0.014,-0.009,0.000,27.920,-66.883,20.008
08:14:01:61,9.451,0.013,-0.013,0.004,27.930,-66.872,20.003
08:14:01:664,9.505,0.011,-0.002,0.006,27.944,-66.867,20.000
08:14:01:665,9.506,0.019,-0.012,0.010,27.923,-66.853,19.975
08:14:01:665,9.506,0.018,-0.006,0.003,27.904,-66.827,20.007
08:14:01:791,9.632,0.010,-0.002,0.000,27.876,-66.794,20.016
08:14:01:879,9.720,0.016,-0.006,-0.007,27.864,-66.781,20.041
08:14:01:879,9.720,0.010,-0.007,0.007,27.846,-66.780,20.015
08:14:01:879,9.720,0.013,0.003,-0.003,27.844,-66.778,20.025
08:14:01:879,9.720,0.019,0.007,0.014,27.833,-66.783,19.994
08:14:01:925,9.766,0.024,0.012,0.007,27.825,-66.766,19.990
08:14:01:925,9.766,0.022,0.012,0.008,27.811,-66.719,19.978
08:14:02:006,9.847,0.023,0.008,-0.008,27.810,-66.668,19.987
08:14:02:006,9.847,0.016,0.006,-0.007,27.819,-66.631,20.016
08:14:02:007,9.848,0.014,-0.001,-0.006,27.846,-66.614,20.015
08:14:02:056,9.897,0.009,-0.020,-0.001,27.860,-66.601,20.004
08:14:02:056,9.897,0.010,-0.006,0.004,27.882,-66.590,20.004
08:14:02:134,9.976,0.008,-0.014,0.000,27.892,-66.588,20.008
08:14:02:134,9.976,0.009,-0.015,-0.002,27.903,-66.580,20.004
08:14:02:189,10.030,0.000,-0.012,-0.006,27.902,-66.583,19.977
08:14:02:19,10.031,0.018,-0.012,0.002,27.870,-66.588,19.903
08:14:02:19,10.031,0.010,-0.005,0.009,27.822,-66.602,19.826
08:14:02:27,10.111,0.016,0.007,0.007,27.815,-66.606,19.802
08:14:02:27,10.111,0.012,-0.007,0.005,27.783,-66.610,19.728
08:14:02:27,10.111,0.019,-0.002,0.006,27.757,-66.607,19.643
08:14:02:318,10.159,0.015,-0.002,-0.005,27.734,-66.590,19.604
08:14:02:318,10.159,0.018,-0.009,-0.013,27.704,-66.548,19.625
08:14:02:502,10.343,0.025,-0.003,0.009,27.538,-66.612,19.656
08:14:02:584,10.425,0.026,0.000,0.009,27.526,-66.595,19.779
08:14:02:584,10.425,0.024,0.003,0.006,27.483,-66.569,19.750
08:14:02:717,10.558,0.017,0.008,0.009,27.496,-66.529,19.837
08:14:02:717,10.558,0.017,-0.002,-0.001,27.523,-66.522,19.879
08:14:02:766,10.607,0.011,-0.004,-0.002,27.543,-66.500,19.908
08:14:02:766,10.607,0.019,-0.004,0.011,27.555,-66.499,19.902
08:14:02:902,10.743,0.020,-0.008,0.005,27.537,-66.500,19.849
08:14:02:902,10.744,0.012,0.002,0.005,27.526,-66.505,19.818
08:14:02:903,10.744,0.005,-0.008,0.001,27.549,-66.492,19.846
08:14:02:903,10.744,0.012,-0.008,-0.005,27.587,-66.476,19.874
08:14:02:972,10.813,0.006,-0.005,0.002,27.594,-66.482,19.844
08:14:03:033,10.874,-0.001,-0.012,-0.007,27.628,-66.470,19.900
08:14:03:034,10.875,0.012,0.004,-0.004,27.640,-66.486,19.911
08:14:03:108,10.949,0.010,0.000,-0.010,27.621,-66.505,19.898
08:14:03:164,11.005,0.020,-0.009,0.017,27.612,-66.533,19.862
08:14:03:164,11.005,0.013,-0.006,0.029,27.604,-66.561,19.800
08:14:03:165,11.006,0.017,0.002,0.006,27.624,-66.569,19.851
08:14:03:165,11.006,0.016,-0.011,0.011,27.598,-66.561,19.803
08:14:03:295,11.136,0.014,-0.010,0.009,27.533,-66.573,19.629
08:14:03:296,11.137,0.016,-0.007,-0.008,27.502,-66.524,19.642
08:14:03:297,11.138,0.011,-0.005,-0.009,27.497,-66.501,19.692
08:14:03:474,11.315,0.015,-0.003,0.010,27.492,-66.570,19.789
08:14:03:496,11.337,0.017,0.005,0.006,27.509,-66.564,19.817
08:14:03:522,11.364,0.018,0.001,0.001,27.537,-66.559,19.849
08:14:03:604,11.445,0.018,-0.003,0.017,27.534,-66.557,19.736
08:14:03:605,11.446,0.010,-0.018,0.003,27.558,-66.550,19.736
08:14:03:628,11.469,0.013,-0.001,-0.010,27.578,-66.534,19.763
08:14:03:683,11.524,0.010,-0.009,0.003,27.573,-66.532,19.731
08:14:03:684,11.525,0.017,-0.009,0.002,27.579,-66.531,19.728
08:14:03:735,11.576,0.004,-0.012,-0.005,27.606,-66.516,19.762
08:14:03:735,11.576,0.006,-0.011,0.006,27.622,-66.542,19.751
08:14:03:788,11.629,0.013,-0.019,0.002,27.616,-66.542,19.754
08:14:03:789,11.630,0.018,-0.004,0.002,27.613,-66.543,19.798
08:14:03:869,11.711,0.021,-0.004,0.012,27.602,-66.573,19.792
08:14:04:003,11.844,0.006,-0.003,0.002,27.537,-66.506,19.761
08:14:04:003,11.844,0.007,0.002,-0.001,27.524,-66.478,19.780
08:14:04:051,11.892,0.014,-0.002,-0.011,27.503,-66.421,19.833
08:14:04:077,11.918,0.008,0.010,-0.007,27.482,-66.394,19.936
08:14:04:077,11.918,0.019,0.005,0.000,27.504,-66.407,19.950
08:14:04:129,11.971,0.016,0.001,0.003,27.534,-66.421,19.952
08:14:04:13,11.971,0.017,-0.008,0.013,27.551,-66.444,19.906
08:14:04:18,12.022,0.015,-0.001,0.000,27.580,-66.430,19.930
08:14:04:267,12.108,0.008,-0.011,0.007,27.629,-66.432,19.942
08:14:04:267,12.108,0.015,-0.013,0.010,27.657,-66.450,19.927
08:14:04:268,12.109,0.012,-0.022,0.005,27.673,-66.440,19.930
08:14:04:268,12.109,0.015,-0.013,-0.003,27.673,-66.440,19.930
08:14:04:312,12.153,0.001,-0.022,0.008,27.663,-66.443,19.926
08:14:04:313,12.154,0.014,-0.007,0.006,27.639,-66.457,19.923
08:14:04:335,12.176,0.014,-0.011,0.006,27.612,-66.468,19.926
08:14:04:363,12.204,0.019,0.000,0.005,27.598,-66.473,19.915
08:14:04:494,12.335,0.021,-0.004,-0.006,27.460,-66.412,19.882
08:14:04:519,12.360,0.006,0.001,-0.001,27.474,-66.399,19.885
08:14:04:576,12.417,0.005,-0.003,0.002,27.474,-66.399,19.885
08:14:04:578,12.419,0.022,0.005,-0.016,27.459,-66.371,19.923
08:14:04:599,12.440,0.008,0.006,-0.015,27.445,-66.355,19.933
08:14:04:76,12.601,0.017,-0.012,0.011,27.549,-66.490,19.811
08:14:04:838,12.679,0.013,-0.022,0.014,27.564,-66.488,19.761
08:14:04:917,12.758,0.009,-0.013,0.014,27.552,-66.496,19.703
08:14:04:918,12.759,0.011,-0.006,-0.002,27.549,-66.497,19.747
08:14:04:972,12.813,0.015,-0.004,0.004,27.507,-66.456,19.774
08:14:04:973,12.814,0.021,-0.002,0.008,27.478,-66.431,19.791
08:14:05:049,12.890,0.012,0.008,0.003,27.473,-66.415,19.840
08:14:05:05,12.891,0.020,0.010,-0.002,27.452,-66.373,19.875
08:14:05:105,12.946,0.017,-0.004,0.007,27.428,-66.358,19.870
08:14:05:105,12.946,0.014,0.008,0.001,27.420,-66.356,19.873
08:14:05:105,12.946,0.012,-0.005,0.006,27.413,-66.360,19.859
08:14:05:177,13.018,0.013,-0.001,0.003,27.424,-66.340,19.884
08:14:05:238,13.079,0.010,-0.004,-0.008,27.427,-66.309,19.903
08:14:05:238,13.079,0.016,0.016,-0.006,27.427,-66.302,19.905
