Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
15:53:10:172,4.210,-0.003,0.006,-0.019,-12.102,-43.290,-10.505
15:53:10:186,4.224,-0.018,0.046,0.010,-12.070,-43.368,-10.513
15:53:10:21,4.248,-0.038,-0.010,-0.020,-11.952,-43.417,-10.339
15:53:10:264,4.301,-0.035,0.021,0.021,-11.934,-43.362,-10.249
15:53:10:284,4.322,0.010,-0.043,-0.009,-12.025,-43.249,-10.159
15:53:10:338,4.376,0.016,-0.020,0.028,-12.038,-43.116,-10.210
15:53:10:359,4.397,0.009,-0.032,0.017,-12.016,-43.081,-10.051
15:53:10:385,4.423,0.038,0.082,0.076,-11.995,-43.091,-10.035
15:53:10:41,4.448,0.008,-0.021,0.019,-11.964,-43.011,-9.751
15:53:10:447,4.485,-0.011,-0.044,-0.008,-12.042,-42.996,-9.258
15:53:10:5,4.538,0.008,-0.036,-0.026,-12.257,-43.088,-9.027
15:53:10:523,4.560,0.020,-0.010,0.018,-12.286,-43.089,-9.024
15:53:10:56,4.597,0.008,-0.030,0.024,-12.287,-43.076,-8.994
15:53:10:584,4.622,0.011,-0.001,0.027,-12.252,-43.063,-8.885
15:53:10:597,4.635,0.007,0.009,0.026,-12.201,-43.090,-8.849
15:53:10:798,4.836,0.011,0.019,0.032,-11.965,-42.945,-8.768
15:53:10:811,4.849,-0.003,-0.001,0.015,-11.946,-42.948,-8.813
15:53:10:835,4.872,-0.005,0.032,0.028,-11.920,-42.976,-8.867
15:53:10:884,4.922,-0.002,-0.037,-0.022,-11.906,-43.009,-8.932
15:53:10:947,4.985,0.004,0.004,0.018,-11.943,-43.023,-8.940
15:53:10:959,4.997,0.004,-0.016,0.001,-11.909,-43.034,-8.929
15:53:11:197,5.235,-0.088,0.093,-0.041,-11.712,-43.209,-9.473
15:53:11:273,5.311,0.006,0.024,0.011,-12.105,-42.442,-9.297
15:53:11:298,5.336,0.058,-0.050,0.040,-12.684,-42.103,-9.563
15:53:11:335,5.373,0.043,-0.094,0.005,-12.941,-41.892,-9.320
15:53:11:347,5.385,0.066,-0.074,0.036,-13.155,-41.761,-9.165
15:53:11:425,5.463,0.057,-0.079,0.015,-13.180,-41.548,-9.319
15:53:11:425,5.463,0.023,0.023,0.054,-13.291,-41.555,-9.485
15:53:11:459,5.497,0.028,-0.041,0.034,-13.322,-41.560,-9.396
15:53:11:497,5.535,0.043,-0.041,0.002,-13.314,-41.598,-9.403
15:53:11:649,5.687,-0.031,-0.004,-0.016,-13.247,-42.672,-9.408
15:53:11:66,5.698,-0.048,0.025,-0.015,-13.181,-42.995,-9.508
15:53:11:685,5.723,-0.039,-0.037,-0.038,-13.159,-43.121,-9.475
15:53:11:723,5.761,-0.046,0.038,-0.010,-13.145,-43.221,-9.449
15:53:11:735,5.773,-0.019,0.026,0.031,-13.101,-43.239,-9.465
15:53:11:897,5.935,0.027,0.028,0.057,-12.605,-43.030,-8.463
15:53:11:922,5.960,0.002,0.039,0.019,-12.276,-43.073,-8.227
15:53:11:948,5.986,-0.016,0.072,0.058,-12.158,-43.199,-8.202
15:53:11:973,6.011,-0.038,0.081,0.030,-12.142,-43.341,-8.043
15:53:11:998,6.036,-0.055,0.068,0.015,-12.179,-43.408,-7.953
15:53:12:035,6.072,-0.024,0.033,0.014,-12.266,-43.501,-7.935
15:53:12:047,6.084,0.004,0.007,0.025,-12.400,-43.519,-7.941
15:53:12:123,6.161,0.027,-0.029,0.015,-12.705,-43.529,-7.919
15:53:12:187,6.225,0.018,-0.057,-0.021,-12.815,-43.535,-7.906
15:53:12:188,6.226,0.027,-0.009,0.041,-12.931,-43.636,-8.106
15:53:12:235,6.273,0.013,-0.023,-0.006,-12.856,-43.720,-7.951
15:53:12:26,6.298,0.015,0.020,0.046,-12.830,-43.802,-8.078
15:53:12:285,6.323,-0.022,-0.021,0.001,-12.732,-43.815,-7.838
15:53:12:31,6.348,0.000,0.028,-0.003,-12.627,-43.916,-7.679
15:53:12:335,6.372,0.000,0.055,0.037,-12.530,-44.003,-7.765
15:53:12:36,6.397,-0.004,-0.018,-0.008,-12.373,-44.002,-7.620
15:53:12:384,6.422,0.004,0.045,0.054,-12.376,-44.029,-7.570
15:53:12:409,6.447,-0.008,-0.007,0.006,-12.422,-44.069,-7.440
15:53:12:434,6.472,-0.011,-0.027,0.008,-12.439,-44.096,-7.299
15:53:12:46,6.498,-0.009,-0.016,0.013,-12.446,-44.213,-7.372
15:53:12:51,6.548,-0.007,-0.029,-0.003,-12.396,-44.289,-7.463
15:53:12:522,6.560,-0.004,-0.015,0.006,-12.342,-44.298,-7.477
15:53:12:56,6.598,-0.012,0.010,0.017,-12.217,-44.321,-7.518
15:53:12:572,6.610,-0.010,0.009,0.003,-12.147,-44.316,-7.501
15:53:12:651,6.688,0.012,0.001,0.028,-12.173,-44.304,-7.646
15:53:12:651,6.688,-0.013,-0.021,-0.003,-12.066,-44.230,-7.324
15:53:12:672,6.710,0.022,-0.014,0.020,-11.914,-44.218,-7.156
15:53:12:726,6.764,0.031,-0.007,0.050,-11.828,-44.228,-7.236
15:53:12:726,6.764,0.025,-0.012,0.017,-11.681,-44.227,-7.164
15:53:12:747,6.785,-0.002,0.029,0.003,-11.594,-44.280,-7.111
15:53:12:801,6.839,-0.038,0.066,0.024,-11.417,-44.368,-7.224
15:53:12:801,6.839,-0.024,0.038,0.013,-11.227,-44.335,-7.219
15:53:12:837,6.875,-0.028,0.049,0.002,-11.181,-44.319,-7.223
15:53:12:873,6.911,-0.026,0.042,0.007,-11.198,-44.301,-7.264
15:53:12:885,6.923,-0.007,0.016,0.024,-11.216,-44.231,-7.253
15:53:12:948,6.985,0.022,-0.028,0.012,-11.340,-44.064,-7.416
15:53:12:96,6.997,0.039,-0.021,0.009,-11.420,-43.997,-7.372
15:53:12:984,7.022,0.029,-0.004,0.048,-11.527,-43.912,-7.443
15:53:13:009,7.047,0.028,-0.037,0.027,-11.534,-43.840,-7.616
15:53:13:11,7.148,0.020,-0.011,0.013,-11.535,-43.715,-7.632
15:53:13:148,7.186,-0.002,-0.012,0.014,-11.493,-43.743,-7.701
15:53:13:173,7.211,0.003,0.018,0.045,-11.372,-43.721,-7.536
15:53:13:198,7.236,-0.018,0.003,-0.008,-11.258,-43.684,-7.354
15:53:13:223,7.261,-0.006,0.011,0.027,-11.197,-43.745,-7.358
15:53:13:248,7.286,0.011,-0.028,0.028,-11.198,-43.740,-7.535
15:53:13:273,7.311,0.009,-0.025,0.005,-11.197,-43.671,-7.532
15:53:13:298,7.336,0.008,0.036,0.027,-11.191,-43.639,-7.544
15:53:13:323,7.361,-0.019,0.012,-0.002,-11.156,-43.681,-7.525
15:53:13:348,7.386,-0.014,0.002,-0.015,-11.125,-43.741,-7.457
15:53:13:373,7.411,-0.022,0.060,0.019,-11.086,-43.773,-7.447
15:53:13:425,7.463,-0.017,0.011,-0.005,-11.033,-43.755,-7.384
15:53:13:426,7.464,-0.013,0.030,0.010,-11.008,-43.780,-7.339
15:53:13:535,7.573,-0.042,0.040,-0.005,-11.100,-43.765,-7.203
15:53:13:572,7.609,-0.005,0.022,0.022,-11.150,-43.705,-7.295
15:53:13:585,7.622,0.004,0.029,0.046,-11.174,-43.608,-7.269
15:53:13:61,7.647,0.030,-0.005,0.034,-11.300,-43.527,-7.263
15:53:13:647,7.685,0.026,-0.003,0.035,-11.433,-43.555,-7.385
15:53:13:76,7.798,0.012,-0.009,-0.006,-11.904,-43.772,-7.379
15:53:13:785,7.823,0.013,-0.019,0.012,-11.988,-43.829,-7.434
15:53:13:822,7.860,-0.001,-0.042,0.001,-11.996,-43.831,-7.469
15:53:13:847,7.885,0.007,-0.028,0.008,-12.000,-43.854,-7.489
15:53:13:873,7.910,-0.008,0.021,0.017,-11.955,-43.936,-7.524
15:53:13:972,8.010,-0.015,0.017,0.016,-11.694,-44.053,-7.458
15:53:13:997,8.035,-0.004,0.028,0.004,-11.677,-44.051,-7.403
15:53:14:023,8.061,0.004,0.034,0.034,-11.662,-44.053,-7.455
15:53:14:047,8.085,-0.001,0.014,0.023,-11.655,-44.032,-7.444
15:53:14:072,8.110,-0.022,0.051,0.022,-11.709,-44.066,-7.505
15:53:14:11,8.148,-0.010,0.032,0.025,-11.758,-44.073,-7.493
15:53:14:16,8.197,0.012,0.002,0.021,-11.929,-44.072,-7.362
15:53:14:259,8.297,0.010,-0.025,0.002,-12.260,-44.248,-7.444
15:53:14:385,8.423,-0.024,0.006,0.007,-12.138,-44.375,-7.399
15:53:14:46,8.497,0.002,0.029,0.031,-12.066,-44.255,-7.299
15:53:14:534,8.572,0.024,0.005,0.046,-12.051,-44.138,-7.345
15:53:14:547,8.585,0.025,-0.005,0.044,-12.101,-44.128,-7.341
15:53:14:647,8.685,-0.015,0.029,0.008,-12.028,-44.235,-7.185
15:53:14:822,8.860,0.000,-0.006,0.010,-12.087,-44.466,-7.142
15:53:14:885,8.923,0.004,-0.005,0.005,-12.102,-44.505,-7.149
15:53:14:911,8.949,0.000,-0.043,-0.024,-12.104,-44.522,-7.115
15:53:14:963,9.001,-0.017,-0.014,-0.026,-12.080,-44.553,-7.107
15:53:14:963,9.001,-0.001,-0.002,0.017,-11.977,-44.533,-7.120
15:53:14:998,9.036,-0.012,-0.010,0.012,-11.912,-44.495,-7.103
15:53:15:086,9.124,-0.005,0.031,0.029,-11.626,-44.477,-7.222
15:53:15:123,9.161,0.004,0.044,0.031,-11.614,-44.494,-7.311
15:53:15:134,9.172,0.014,0.030,0.040,-11.636,-44.501,-7.409
15:53:15:248,9.285,0.041,-0.101,0.018,-11.944,-44.636,-7.567
15:53:15:273,9.310,0.088,-0.186,-0.031,-11.993,-44.746,-7.631
15:53:15:298,9.335,0.022,-0.049,0.051,-11.824,-44.843,-7.693
15:53:15:348,9.386,-0.012,-0.002,-0.007,-11.284,-45.051,-7.653
15:53:15:388,9.426,-0.009,0.056,0.012,-10.960,-45.209,-7.731
15:53:15:388,9.426,-0.035,0.101,0.023,-10.645,-45.337,-7.785
15:53:15:425,9.463,-0.060,0.125,0.012,-10.441,-45.366,-7.635
15:53:15:426,9.464,-0.049,0.116,0.005,-10.368,-45.374,-7.542
15:53:15:574,9.611,0.022,-0.041,0.014,-10.869,-45.305,-7.592
15:53:15:585,9.622,-0.003,0.014,0.003,-11.066,-45.394,-7.635
15:53:15:623,9.661,-0.001,-0.009,0.019,-11.101,-45.445,-7.563
15:53:15:647,9.685,-0.005,-0.036,-0.015,-11.166,-45.474,-7.480
15:53:15:684,9.722,0.003,0.004,0.024,-11.328,-45.517,-7.540
15:53:15:737,9.775,0.004,-0.001,-0.001,-11.409,-45.545,-7.457
15:53:15:738,9.776,0.011,0.021,0.012,-11.454,-45.578,-7.498
15:53:15:822,9.860,0.020,-0.022,0.018,-11.786,-45.773,-7.701
15:53:15:96,9.998,-0.120,0.136,-0.006,-11.805,-46.072,-7.787
15:53:15:985,10.023,-0.062,0.013,-0.021,-11.913,-45.846,-7.611
15:53:15:997,10.035,-0.007,0.000,0.029,-12.084,-45.659,-7.560
15:53:16:072,10.110,0.030,-0.006,0.005,-12.472,-45.146,-7.641
15:53:16:111,10.149,0.045,-0.033,0.055,-12.641,-44.989,-7.630
15:53:16:122,10.160,0.085,-0.094,0.028,-12.772,-44.848,-7.564
15:53:16:147,10.185,0.064,0.007,0.035,-12.936,-44.840,-7.723
15:53:16:198,10.236,0.042,0.000,0.056,-12.928,-44.851,-7.771
15:53:16:21,10.247,0.027,-0.065,0.006,-12.905,-44.882,-7.677
15:53:16:236,10.273,0.010,0.035,0.045,-12.910,-45.005,-7.843
15:53:16:347,10.385,-0.012,-0.007,0.002,-13.244,-45.521,-8.970
15:53:16:36,10.398,-0.001,0.021,0.017,-13.559,-45.775,-9.403
15:53:16:447,10.485,-0.012,0.035,0.016,-13.706,-45.704,-9.731
15:53:16:459,10.497,0.020,0.003,0.020,-13.584,-45.574,-9.802
15:53:16:497,10.535,-0.003,0.027,0.013,-13.521,-45.527,-9.848
15:53:16:522,10.560,0.015,0.008,0.033,-13.465,-45.427,-9.856
15:53:16:547,10.585,0.008,0.007,0.018,-13.487,-45.364,-9.773
15:53:16:572,10.610,0.019,-0.010,0.014,-13.527,-45.373,-9.725
15:53:16:61,10.648,0.029,-0.024,0.030,-13.475,-45.368,-9.324
15:53:16:623,10.661,0.010,-0.007,0.013,-13.388,-45.362,-8.962
15:53:16:662,10.699,-0.001,0.008,0.012,-13.306,-45.389,-8.845
15:53:16:673,10.710,0.004,0.007,0.006,-13.321,-45.420,-9.048
15:53:16:697,10.735,0.000,-0.013,0.026,-13.327,-45.412,-9.030
15:53:16:734,10.772,-0.015,0.018,0.002,-13.288,-45.407,-8.751
15:53:16:747,10.785,-0.008,0.016,0.016,-13.219,-45.403,-8.623
15:53:16:772,10.810,0.002,-0.025,-0.011,-13.167,-45.357,-8.540
15:53:16:81,10.848,-0.001,0.038,0.030,-13.164,-45.349,-8.635
15:53:16:822,10.860,0.003,0.022,0.032,-13.149,-45.287,-8.553
15:53:16:86,10.898,0.017,-0.012,0.009,-13.144,-45.293,-8.391
15:53:16:935,10.973,-0.004,-0.020,-0.005,-13.195,-45.293,-8.385
15:53:17:01,11.048,-0.006,-0.029,-0.001,-13.155,-45.391,-8.307
15:53:17:035,11.073,-0.006,0.015,0.001,-13.114,-45.453,-8.319
15:53:17:06,11.098,0.014,-0.011,0.031,-13.059,-45.452,-8.366
15:53:17:085,11.123,-0.006,-0.041,-0.007,-12.997,-45.423,-8.356
15:53:17:198,11.236,-0.008,0.039,0.020,-12.604,-45.575,-8.516
15:53:17:235,11.273,0.004,0.028,0.026,-12.456,-45.615,-8.520
