Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
09:19:03:032,9.167,-0.010,-0.005,-0.008,8.631,143.620,2.996
09:19:03:033,9.168,0.004,-0.015,0.000,8.689,143.550,3.047
09:19:03:377,9.513,-0.016,-0.006,-0.004,9.669,143.630,3.310
09:19:03:377,9.513,-0.020,-0.002,-0.009,9.710,143.984,3.316
09:19:03:378,9.514,0.000,0.003,-0.004,9.784,143.979,3.358
09:19:03:379,9.515,-0.001,0.020,-0.001,9.831,144.024,3.354
09:19:03:434,9.570,-0.008,-0.009,0.003,9.850,143.995,3.360
09:19:03:434,9.570,0.001,0.010,-0.009,9.856,143.951,3.370
09:19:03:505,9.641,-0.007,0.018,0.000,9.864,143.913,3.365
09:19:03:572,9.708,-0.004,-0.001,-0.001,9.884,143.875,3.333
09:19:03:573,9.709,-0.004,-0.009,0.000,9.888,143.840,3.358
09:19:03:574,9.710,0.002,0.014,-0.003,9.867,143.801,3.355
09:19:03:639,9.775,0.000,-0.023,0.002,9.838,143.790,3.312
09:19:03:64,9.776,-0.003,-0.028,-0.010,9.824,143.790,3.294
09:19:03:64,9.776,-0.005,0.002,0.004,9.801,143.769,3.307
09:19:03:641,9.777,-0.008,0.003,0.001,9.806,143.737,3.273
09:19:03:694,9.829,0.004,-0.013,-0.002,9.846,143.735,3.260
09:19:03:695,9.830,-0.006,-0.011,-0.001,9.877,143.580,3.260
09:19:03:77,9.906,-0.001,0.005,-0.002,10.156,143.438,3.143
09:19:03:903,10.039,-0.027,-0.099,-0.049,10.732,143.332,3.056
09:19:03:904,10.040,0.004,0.000,-0.009,11.186,143.309,3.060
09:19:03:904,10.040,0.004,0.023,0.015,11.363,143.219,2.979
09:19:03:905,10.041,-0.024,-0.022,-0.024,11.686,143.340,2.816
09:19:03:97,10.106,-0.005,-0.006,-0.008,12.018,143.214,2.769
09:19:03:97,10.106,-0.020,-0.016,-0.010,12.081,143.251,2.700
09:19:03:97,10.106,-0.010,-0.022,-0.023,12.114,143.269,2.713
09:19:03:97,10.106,0.007,0.008,-0.004,12.043,143.368,2.739
09:19:04:017,10.153,-0.016,0.005,-0.002,11.956,143.373,2.701
09:19:04:03,10.165,-0.009,-0.004,-0.017,11.918,143.369,2.676
09:19:04:097,10.233,0.000,-0.025,-0.006,11.876,143.362,2.748
09:19:04:097,10.233,0.005,-0.006,-0.001,11.806,143.346,2.800
09:19:04:098,10.234,-0.011,-0.031,-0.015,11.705,143.394,2.838
09:19:04:154,10.290,0.000,-0.008,-0.008,11.609,143.401,2.884
09:19:04:239,10.374,-0.006,-0.032,-0.007,11.396,143.432,2.958
09:19:04:24,10.375,-0.010,-0.035,-0.010,11.241,143.498,3.014
09:19:04:241,10.376,-0.008,0.004,-0.003,11.041,143.558,3.026
09:19:04:241,10.376,-0.014,-0.006,-0.018,10.924,143.621,2.973
09:19:04:573,10.709,-0.004,-0.014,-0.011,10.892,143.631,2.925
09:19:04:573,10.709,0.000,-0.006,0.000,10.919,143.593,2.913
09:19:04:574,10.710,-0.008,-0.024,-0.008,10.946,143.511,2.912
09:19:04:575,10.711,0.000,-0.017,-0.007,11.019,143.506,2.932
09:19:04:761,10.897,-0.003,0.020,0.009,11.001,143.222,3.173
09:19:04:761,10.897,0.003,0.024,0.010,10.919,143.215,3.170
09:19:04:762,10.898,-0.004,-0.002,-0.013,10.915,143.187,3.176
09:19:04:824,10.960,0.003,-0.006,0.001,10.915,143.191,3.221
09:19:04:824,10.960,-0.010,-0.001,-0.007,10.889,143.189,3.208
09:19:04:826,10.962,-0.004,-0.008,-0.006,10.886,143.197,3.202
09:19:04:885,11.021,-0.002,-0.007,-0.002,10.884,143.198,3.217
09:19:04:885,11.021,-0.008,-0.011,-0.006,10.894,143.196,3.184
09:19:04:886,11.022,-0.006,0.000,-0.004,10.894,143.200,3.162
09:19:04:891,11.027,0.000,-0.007,-0.007,10.892,143.197,3.133
09:19:05:029,11.165,-0.012,-0.016,-0.009,10.896,143.206,3.125
09:19:05:029,11.165,-0.009,-0.007,-0.006,10.895,143.197,3.035
09:19:05:029,11.165,-0.007,-0.003,-0.011,10.917,143.173,2.944
09:19:05:03,11.166,-0.008,-0.001,-0.010,10.943,143.178,2.913
09:19:05:086,11.221,-0.008,-0.006,-0.017,10.989,143.175,2.875
09:19:05:086,11.222,-0.010,0.002,-0.008,10.983,143.164,2.854
09:19:05:086,11.222,-0.015,0.001,-0.005,10.963,143.147,2.815
09:19:05:228,11.364,-0.002,-0.004,-0.012,10.961,143.115,2.783
09:19:05:229,11.365,0.005,-0.021,-0.004,10.962,143.088,2.802
09:19:05:229,11.365,-0.004,0.000,-0.004,10.933,143.080,2.804
09:19:05:23,11.366,-0.008,-0.013,-0.009,10.931,143.078,2.775
09:19:05:291,11.427,0.004,-0.012,-0.009,10.926,143.072,2.783
09:19:05:291,11.427,-0.005,-0.017,-0.008,10.925,143.062,2.775
09:19:05:291,11.427,-0.005,-0.007,-0.012,10.918,143.049,2.776
09:19:05:291,11.427,0.002,-0.018,-0.021,10.930,143.023,2.763
09:19:05:342,11.478,-0.001,-0.015,-0.012,10.933,142.995,2.767
09:19:05:427,11.563,-0.004,-0.004,-0.014,10.972,142.969,2.811
09:19:05:427,11.563,-0.001,-0.017,-0.017,10.993,142.930,2.801
09:19:05:48,11.616,-0.030,-0.012,-0.016,10.998,142.883,2.765
09:19:05:627,11.763,-0.006,-0.010,-0.007,11.127,142.343,2.644
09:19:05:627,11.763,-0.010,-0.024,-0.013,11.258,142.349,2.637
09:19:05:884,12.020,-0.003,-0.013,0.001,11.310,142.297,2.629
09:19:05:884,12.020,-0.005,-0.024,-0.008,11.370,142.271,2.607
09:19:06:219,12.355,-0.005,-0.039,-0.005,11.426,142.271,2.617
09:19:06:345,12.481,-0.013,-0.011,-0.008,11.424,142.255,2.609
09:19:06:345,12.481,-0.007,-0.027,-0.014,11.412,142.228,2.633
09:19:06:553,12.689,0.000,-0.015,-0.002,11.384,142.230,2.658
09:19:06:553,12.689,-0.004,-0.007,-0.005,11.324,142.260,2.643
09:19:06:554,12.690,0.000,0.002,-0.005,11.251,142.237,2.622
09:19:06:554,12.690,0.001,-0.001,0.006,11.230,142.209,2.641
09:19:06:667,12.803,0.007,-0.002,-0.002,11.231,142.191,2.684
09:19:06:738,12.874,0.003,0.002,0.003,11.208,142.179,2.721
09:19:06:743,12.878,0.005,-0.011,0.003,11.192,142.178,2.718
09:19:06:753,12.889,0.004,-0.015,0.007,11.157,142.182,2.746
09:19:06:753,12.889,0.003,-0.011,-0.007,11.176,142.220,2.765
09:19:06:754,12.890,0.005,-0.017,0.000,11.198,142.243,2.767
09:19:06:754,12.890,0.011,-0.016,0.001,11.227,142.252,2.788
09:19:06:755,12.891,-0.001,-0.009,-0.004,11.238,142.290,2.802
09:19:06:882,13.017,0.002,-0.001,-0.009,11.293,142.362,2.783
09:19:06:935,13.071,-0.005,-0.010,-0.007,11.303,142.382,2.751
