Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
09:39:55:393,4.838,0.002,0.020,-0.008,0.185,113.428,-25.599
09:39:55:525,4.971,0.007,-0.018,0.009,-0.381,112.847,-24.955
09:39:55:525,4.971,0.003,-0.013,0.013,-0.358,112.724,-24.953
09:39:55:525,4.971,0.010,0.017,-0.001,-0.338,112.659,-25.001
09:39:55:548,4.994,0.002,0.011,0.008,-0.301,112.626,-24.934
09:39:55:548,4.994,0.010,-0.002,0.008,-0.228,112.585,-24.746
09:39:55:549,4.995,0.014,0.000,-0.016,-0.198,112.579,-24.672
09:39:55:55,4.996,0.002,0.014,0.000,-0.175,112.548,-24.599
09:39:56:285,5.730,0.002,-0.009,0.013,0.036,112.508,-23.908
09:39:56:286,5.731,-0.002,-0.011,-0.004,0.047,112.509,-23.873
09:39:56:286,5.731,0.007,-0.022,0.001,0.068,112.518,-23.770
09:39:56:337,5.782,-0.004,0.005,0.003,0.173,112.575,-23.844
09:39:56:337,5.782,0.006,0.001,0.001,0.315,112.640,-23.899
09:39:56:337,5.782,0.004,0.000,0.012,0.387,112.709,-23.909
09:39:56:338,5.783,0.000,0.027,-0.004,0.495,112.810,-23.962
09:39:56:363,5.808,0.003,0.010,-0.012,0.577,112.874,-23.967
09:39:56:364,5.809,0.006,-0.006,-0.003,0.647,112.956,-23.901
09:39:56:365,5.810,0.002,0.026,-0.003,0.667,112.994,-23.931
09:39:56:365,5.810,0.000,0.015,-0.005,0.670,112.990,-23.972
09:39:56:646,6.091,0.000,0.022,0.006,0.758,112.761,-24.169
09:39:56:646,6.091,0.015,-0.019,0.007,0.741,112.739,-24.094
09:39:56:727,6.172,0.010,-0.003,0.012,0.730,112.713,-24.068
09:39:56:727,6.172,0.011,-0.015,0.001,0.739,112.679,-24.004
09:39:56:728,6.173,0.010,-0.030,0.018,0.773,112.669,-23.900
09:39:56:833,6.279,0.012,-0.029,0.004,0.883,112.687,-23.814
09:39:56:833,6.279,-0.004,0.011,0.000,0.994,112.723,-23.867
09:39:56:834,6.280,-0.006,0.005,-0.002,1.180,112.840,-23.912
09:39:56:983,6.428,0.017,-0.004,0.018,1.534,113.179,-23.659
09:39:57:039,6.484,0.005,0.044,-0.005,1.499,113.241,-23.653
09:39:57:039,6.484,0.003,-0.011,-0.012,1.459,113.267,-23.640
09:39:57:062,6.507,0.002,-0.027,-0.009,1.357,113.297,-23.616
09:39:57:144,6.590,-0.006,-0.020,-0.019,1.269,113.278,-23.729
09:39:57:145,6.591,-0.003,0.001,-0.005,1.224,113.254,-23.807
09:39:57:301,6.746,0.007,-0.022,0.021,1.142,113.027,-23.882
09:39:57:302,6.747,0.016,-0.007,-0.004,1.176,113.045,-23.942
09:39:57:325,6.770,0.001,0.020,-0.007,1.274,113.084,-23.989
09:39:57:379,6.825,0.000,0.017,-0.001,1.336,113.081,-23.984
09:39:57:38,6.826,0.001,0.028,-0.009,1.386,113.100,-23.997
09:39:57:404,6.850,0.009,0.003,-0.006,1.384,113.107,-23.989
09:39:57:458,6.903,0.005,0.006,-0.002,1.397,113.092,-23.972
09:39:57:459,6.904,0.009,0.014,-0.002,1.383,113.047,-23.963
09:39:57:587,7.032,0.005,-0.003,0.007,1.298,112.897,-23.895
09:39:57:613,7.059,0.004,-0.005,0.004,1.282,112.862,-23.892
09:39:57:667,7.113,0.006,0.008,0.006,1.262,112.818,-23.896
09:39:57:695,7.140,0.010,0.006,-0.002,1.243,112.787,-23.867
09:39:57:696,7.141,-0.001,0.024,-0.004,1.229,112.733,-23.653
09:39:57:777,7.223,0.020,-0.022,0.042,1.283,112.697,-23.066
