Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
11:10:46:247,3.724,0.002,0.016,0.000,-32.891,156.781,-19.389
11:10:46:248,3.725,-0.003,-0.004,0.000,-32.879,156.801,-19.358
11:10:46:405,3.882,0.001,-0.014,0.004,-32.778,156.989,-19.098
11:10:46:428,3.905,-0.003,-0.008,0.006,-32.787,157.010,-19.089
11:10:46:541,4.018,-0.008,-0.011,0.009,-32.817,157.022,-19.063
11:10:46:541,4.018,-0.005,0.001,0.001,-32.861,157.039,-19.044
11:10:46:542,4.019,-0.010,-0.006,-0.003,-32.883,157.053,-19.025
11:10:46:563,4.040,-0.008,0.001,-0.001,-32.904,157.074,-19.008
11:10:46:563,4.040,-0.006,0.000,0.005,-32.919,157.102,-19.023
11:10:46:669,4.146,0.002,0.008,0.001,-32.955,157.135,-19.016
11:10:46:67,4.147,-0.004,0.015,0.000,-32.994,157.151,-19.028
11:10:46:727,4.204,-0.004,0.022,-0.010,-33.001,157.152,-18.999
11:10:46:727,4.204,0.001,0.029,-0.010,-32.981,157.173,-18.944
11:10:46:727,4.204,0.004,0.031,-0.008,-32.934,157.207,-18.933
11:10:46:727,4.204,-0.008,-0.005,0.007,-32.828,157.279,-18.954
11:10:46:743,4.220,-0.011,-0.015,0.009,-32.765,157.336,-18.985
11:10:46:858,4.335,-0.008,-0.016,0.009,-32.732,157.424,-19.032
11:10:46:858,4.335,-0.009,-0.015,0.014,-32.726,157.481,-19.055
11:10:46:859,4.336,-0.008,-0.023,0.011,-32.732,157.523,-19.104
11:10:46:86,4.337,-0.004,-0.013,0.001,-32.765,157.614,-19.179
11:10:46:874,4.351,0.003,-0.010,0.011,-32.808,157.646,-19.165
11:10:47:041,4.518,0.006,-0.003,0.012,-32.864,157.705,-19.188
11:10:47:042,4.519,0.004,0.001,0.008,-32.929,157.748,-19.237
11:10:47:042,4.519,0.003,0.004,0.007,-32.972,157.755,-19.238
11:10:47:043,4.520,0.006,0.008,0.005,-33.036,157.769,-19.256
11:10:47:329,4.806,-0.008,0.006,-0.001,-33.220,157.554,-19.143
11:10:47:33,4.807,-0.015,-0.005,0.005,-33.229,157.503,-19.084
11:10:47:33,4.807,-0.009,0.000,-0.009,-33.240,157.439,-19.029
11:10:47:331,4.808,-0.010,-0.003,0.005,-33.255,157.416,-18.985
11:10:47:347,4.824,-0.005,0.008,-0.008,-33.289,157.381,-18.945
11:10:47:374,4.851,-0.007,0.007,-0.008,-33.303,157.347,-18.891
11:10:47:489,4.966,-0.008,0.014,-0.013,-33.317,157.331,-18.849
11:10:47:489,4.966,-0.002,0.012,-0.001,-33.316,157.337,-18.814
11:10:47:489,4.966,-0.007,0.003,0.004,-33.274,157.344,-18.779
11:10:47:505,4.982,0.000,0.010,-0.006,-33.259,157.360,-18.762
11:10:47:532,5.009,-0.006,0.001,0.002,-33.248,157.364,-18.696
11:10:47:672,5.149,-0.011,-0.004,-0.002,-33.220,157.353,-18.641
11:10:47:673,5.150,-0.010,0.008,-0.005,-33.220,157.369,-18.617
11:10:47:674,5.151,-0.006,0.004,0.001,-33.196,157.411,-18.561
11:10:47:674,5.151,-0.005,0.004,-0.004,-33.164,157.448,-18.550
11:10:47:692,5.169,-0.003,0.014,-0.003,-33.134,157.507,-18.507
11:10:47:692,5.169,-0.001,0.007,0.006,-33.082,157.562,-18.434
11:10:47:829,5.306,-0.006,-0.003,0.010,-33.041,157.604,-18.417
11:10:47:83,5.307,0.000,-0.002,0.004,-32.982,157.666,-18.435
11:10:47:83,5.307,-0.002,-0.006,0.012,-32.965,157.183,-18.407
11:10:47:851,5.328,0.000,-0.001,0.004,-32.907,157.268,-18.423
11:10:47:988,5.465,-15.808,-0.708,-0.027,11.581,-10.142,-4.576
11:10:48:191,5.668,-0.002,0.001,-0.001,-32.494,156.590,-18.039
11:10:48:302,5.779,0.001,0.002,0.001,-32.482,156.529,-18.008
11:10:48:303,5.780,-0.002,0.002,0.008,-32.467,156.526,-17.978
11:10:48:304,5.781,0.004,-0.006,0.006,-32.438,156.566,-17.975
11:10:48:304,5.781,0.000,-0.002,0.008,-32.429,156.573,-17.977
11:10:48:322,5.799,0.003,0.000,0.001,-32.410,156.564,-17.983
11:10:48:322,5.799,-0.005,-0.006,0.007,-32.401,156.563,-17.982
11:10:48:345,5.822,0.001,-0.002,-0.004,-32.405,156.565,-17.991
11:10:48:485,5.962,-0.001,0.002,0.005,-32.405,156.565,-17.991
11:10:48:486,5.963,-0.006,0.000,0.007,-32.409,156.564,-18.012
11:10:48:486,5.963,-0.004,0.004,-0.007,-32.410,156.564,-18.042
11:10:48:487,5.964,0.000,0.012,-0.004,-32.430,156.573,-18.066
11:10:48:506,5.983,0.001,0.010,0.005,-32.429,156.580,-18.068
11:10:48:506,5.983,-0.002,0.007,-0.003,-32.411,156.584,-18.091
11:10:48:644,6.121,-0.002,0.015,-0.003,-32.394,156.595,-18.117
11:10:48:644,6.121,-0.010,0.007,0.002,-32.365,156.591,-18.117
11:10:48:645,6.122,-0.010,0.006,-0.007,-32.335,156.577,-18.106
11:10:48:645,6.122,-0.015,-0.005,-0.001,-32.289,156.469,-18.116
11:10:48:826,6.303,-0.008,-0.023,0.013,-32.103,156.591,-18.146
11:10:48:827,6.304,-0.007,-0.007,0.010,-32.078,156.614,-18.159
11:10:48:828,6.305,-0.010,-0.023,0.011,-32.082,156.611,-18.143
11:10:48:828,6.305,-0.008,-0.007,-0.001,-32.120,156.590,-18.130
11:10:48:981,6.458,0.002,0.008,0.000,-32.175,156.521,-18.118
11:10:48:982,6.459,-0.004,0.007,0.004,-32.143,156.514,-18.079
11:10:49:116,6.593,-0.012,-0.010,0.001,-32.099,156.544,-18.015
11:10:49:117,6.594,-0.008,-0.006,0.002,-32.084,156.481,-17.975
11:10:49:117,6.594,-0.004,0.001,-0.003,-32.079,156.500,-17.966
11:10:49:136,6.613,-0.002,-0.008,0.003,-32.071,156.474,-17.951
11:10:49:136,6.613,-0.002,0.000,-0.003,-32.069,156.487,-17.948
11:10:49:158,6.635,-0.008,0.001,-0.008,-32.073,156.493,-17.942
11:10:49:269,6.746,-0.013,-0.009,-0.001,-32.067,156.505,-17.930
11:10:49:27,6.747,-0.009,-0.002,-0.008,-32.057,156.550,-17.943
11:10:49:271,6.748,-0.001,0.003,0.003,-32.072,156.618,-17.938
11:10:49:292,6.769,-0.001,0.002,0.003,-32.089,156.650,-17.939
11:10:49:293,6.770,0.005,0.016,0.001,-32.075,156.693,-17.943
11:10:49:316,6.793,0.004,0.013,0.004,-32.061,156.745,-17.950
11:10:49:46,6.937,0.002,0.006,0.011,-32.045,156.768,-17.935
11:10:49:46,6.937,0.003,-0.006,0.006,-32.009,156.791,-17.927
11:10:49:46,6.937,-0.002,-0.009,0.005,-31.988,156.808,-17.946
11:10:49:46,6.937,-0.003,-0.013,0.007,-31.990,156.810,-17.925
11:10:49:476,6.953,-0.007,-0.016,0.008,-31.987,156.808,-17.916
11:10:49:477,6.954,-0.010,-0.023,0.011,-31.984,156.846,-17.986
11:10:49:606,7.083,-0.003,-0.010,0.009,-32.009,156.861,-18.034
11:10:49:773,7.250,0.005,0.013,0.003,-32.157,156.775,-18.171
11:10:49:773,7.250,-0.010,0.006,0.000,-32.130,156.720,-18.172
11:10:49:774,7.251,-0.011,-0.001,0.001,-32.116,156.692,-18.186
11:10:49:794,7.271,-0.012,-0.006,0.002,-32.127,156.662,-18.179
11:10:49:795,7.272,-0.010,-0.001,-0.004,-32.129,156.621,-18.160
11:10:49:795,7.272,-0.010,-0.005,-0.004,-32.132,156.613,-18.159
11:10:49:927,7.404,-0.007,-0.001,0.006,-32.133,156.554,-18.157
11:10:49:928,7.405,0.001,0.011,0.001,-32.147,156.402,-18.160
11:10:49:953,7.430,0.004,0.016,-0.001,-32.162,156.404,-18.161
11:10:49:953,7.430,-0.003,0.009,-0.002,-32.166,156.446,-18.149
11:10:49:953,7.430,-0.007,0.005,-0.001,-32.136,156.432,-18.139
11:10:50:113,7.590,-0.008,0.003,-0.005,-32.139,156.589,-18.144
11:10:50:113,7.590,-0.006,-0.002,-0.001,-32.140,156.563,-18.130
11:10:50:114,7.591,-0.008,0.000,-0.002,-32.143,156.261,-18.131
11:10:50:115,7.592,-0.007,0.002,0.002,-32.143,156.261,-18.131
11:10:50:137,7.614,-0.017,-0.013,0.002,-32.115,156.160,-18.126
11:10:50:138,7.615,-0.010,-0.002,-0.003,-32.109,156.161,-18.134
11:10:50:288,7.765,-0.004,0.008,0.001,-32.111,156.174,-18.005
11:10:50:456,7.933,-0.008,-0.004,-0.006,-32.052,156.123,-17.948
11:10:50:456,7.933,-0.012,0.002,-0.004,-32.026,156.123,-17.934
11:10:50:456,7.933,-0.008,-0.005,0.000,-31.986,156.131,-17.901
11:10:50:456,7.933,-0.008,-0.010,0.002,-31.967,156.214,-17.915
11:10:50:611,8.088,-0.011,-0.010,0.006,-31.957,156.254,-17.933
11:10:50:612,8.089,-0.006,-0.010,0.004,-31.950,156.585,-17.933
11:10:50:613,8.090,-0.005,-0.009,0.007,-31.956,156.629,-17.959
11:10:50:613,8.090,-0.001,-0.001,0.010,-31.972,156.687,-17.974
11:10:50:769,8.246,0.004,-0.003,0.008,-31.992,156.715,-17.988
11:10:50:77,8.247,0.009,0.015,-0.001,-32.008,156.753,-18.013
11:10:50:77,8.247,0.009,0.012,0.013,-32.024,156.757,-17.991
11:10:50:771,8.248,0.005,0.006,0.007,-32.018,156.768,-17.979
11:10:50:927,8.404,-0.009,0.001,0.008,-32.017,156.713,-17.965
11:10:50:928,8.405,-0.006,0.007,-0.007,-32.025,156.688,-17.950
11:10:50:929,8.406,-0.007,0.004,-0.004,-32.023,156.648,-17.940
11:10:51:109,8.586,-0.008,-0.002,0.000,-32.014,156.754,-17.954
11:10:51:242,8.719,-0.001,0.000,-0.001,-32.007,156.277,-17.938
11:10:51:242,8.719,-0.013,-0.003,-0.004,-32.006,156.274,-17.931
11:10:51:243,8.720,-0.007,0.002,0.002,-32.002,156.316,-17.948
11:10:51:243,8.720,-0.008,-0.001,0.002,-31.978,156.354,-17.967
11:10:51:268,8.745,-0.002,0.000,0.004,-31.958,156.461,-17.996
11:10:51:268,8.745,-0.003,0.002,0.005,-31.950,156.511,-18.025
11:10:51:269,8.746,0.007,0.010,0.000,-31.946,156.509,-18.016
11:10:51:27,8.747,0.000,0.000,0.002,-31.946,156.517,-18.018
11:10:51:364,8.841,-0.003,-0.002,0.011,-31.947,156.519,-18.026
11:10:51:583,9.060,-0.005,-0.002,0.000,-31.985,156.491,-17.980
11:10:51:583,9.060,-0.005,0.011,-0.007,-32.003,156.503,-17.962
11:10:51:584,9.061,-0.003,0.018,-0.002,-32.037,156.496,-17.944
11:10:51:585,9.062,0.000,0.018,0.001,-32.042,156.505,-17.916
11:10:51:634,9.111,0.002,0.013,-0.002,-32.039,156.501,-17.901
11:10:51:634,9.111,-0.002,0.016,-0.003,-32.038,156.501,-17.870
11:10:51:635,9.112,-0.013,-0.011,0.005,-32.040,156.485,-17.837
11:10:51:743,9.220,-0.012,-0.012,-0.001,-32.005,156.475,-17.812
11:10:51:743,9.220,-0.013,-0.027,0.007,-31.999,156.494,-17.773
11:10:51:743,9.220,0.000,-0.015,0.003,-32.025,156.519,-17.773
11:10:51:743,9.220,-0.001,0.001,0.002,-32.068,156.525,-17.772
11:10:51:872,9.350,-0.004,0.002,-0.003,-32.092,156.513,-17.768
11:10:51:872,9.350,-0.008,0.008,0.001,-32.119,156.522,-17.763
11:10:51:873,9.351,0.003,0.011,-0.003,-32.123,156.527,-17.750
11:10:51:899,9.377,-0.012,-0.007,-0.001,-32.122,156.509,-17.707
11:10:51:899,9.377,-0.004,-0.005,0.001,-32.122,156.509,-17.707
11:10:51:899,9.377,-0.009,-0.013,0.010,-32.122,156.509,-17.707
