Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
11:16:56:932,4.598,0.003,-0.007,0.003,-18.426,139.268,-8.601
11:16:56:933,4.599,0.010,-0.017,-0.001,-18.393,139.192,-8.582
11:16:56:933,4.599,0.007,0.004,0.005,-18.385,139.126,-8.582
11:16:56:95,4.616,-0.026,0.009,-0.009,-18.454,139.041,-8.636
11:16:56:951,4.617,-0.024,-0.008,-0.003,-18.483,138.995,-8.667
11:16:57:035,4.701,-0.015,-0.005,-0.015,-18.379,138.972,-8.679
11:16:57:035,4.701,-0.007,-0.009,0.004,-18.330,138.924,-8.565
11:16:57:036,4.702,0.000,0.003,-0.007,-18.362,138.916,-8.497
11:16:57:036,4.702,-0.015,0.005,0.001,-18.421,138.895,-8.437
11:16:57:088,4.754,-0.003,0.001,-0.005,-18.409,138.904,-8.397
11:16:57:088,4.754,-0.015,-0.001,-0.015,-18.281,138.943,-8.401
11:16:57:088,4.754,-0.006,-0.005,0.007,-18.250,138.983,-8.281
11:16:57:089,4.755,0.017,-0.020,0.014,-18.207,139.013,-7.933
11:16:57:107,4.773,0.019,-0.010,-0.004,-18.124,139.050,-7.699
11:16:57:107,4.773,0.011,-0.026,0.021,-18.105,139.031,-7.465
11:16:57:245,4.911,-0.002,-0.018,-0.001,-18.056,138.998,-7.089
11:16:57:246,4.912,0.024,-0.013,0.012,-18.114,138.968,-6.917
11:16:57:246,4.912,0.004,0.021,-0.005,-18.207,138.952,-6.902
11:16:57:421,5.087,0.004,0.004,-0.004,-18.275,138.941,-6.856
11:16:57:53,5.196,-0.003,0.004,-0.005,-18.287,138.954,-6.848
11:16:57:53,5.196,0.007,-0.018,0.008,-18.244,138.999,-6.813
11:16:57:531,5.197,0.023,-0.013,0.026,-18.217,139.040,-6.649
11:16:57:586,5.252,0.005,-0.001,0.002,-18.267,139.048,-6.646
11:16:57:587,5.253,0.000,0.004,0.004,-18.362,139.050,-6.700
11:16:57:587,5.253,-0.002,-0.009,0.006,-18.473,139.053,-6.706
11:16:57:588,5.254,0.013,-0.002,0.004,-18.483,139.063,-6.719
11:16:57:743,5.409,-0.003,0.007,0.001,-18.509,139.058,-6.735
11:16:57:743,5.410,-0.005,0.007,0.002,-18.551,138.976,-6.618
11:16:57:743,5.410,-0.020,0.003,-0.014,-18.543,138.954,-6.609
11:16:57:772,5.439,-0.022,0.002,-0.017,-18.505,138.993,-6.587
11:16:57:772,5.439,-0.010,0.014,-0.006,-18.467,139.065,-6.635
11:16:57:772,5.439,-0.001,0.016,-0.007,-18.388,139.206,-6.717
11:16:57:796,5.463,-0.001,0.001,0.002,-18.335,139.297,-6.690
11:16:57:797,5.464,-0.008,0.000,-0.012,-18.264,139.356,-6.715
11:16:57:797,5.464,0.001,-0.019,0.003,-18.132,139.463,-6.722
11:16:57:798,5.465,0.000,-0.019,0.003,-18.055,139.547,-6.766
11:16:57:848,5.515,-0.009,-0.027,-0.007,-18.010,139.706,-6.762
11:16:57:848,5.515,-0.004,-0.017,0.004,-17.984,139.772,-6.769
11:16:57:849,5.516,0.005,-0.009,0.009,-17.996,139.877,-6.738
11:16:57:893,5.560,0.007,0.001,0.015,-18.031,139.931,-6.753
11:16:57:894,5.561,0.015,0.007,0.015,-18.094,139.987,-6.734
11:16:57:999,5.666,0.015,0.004,0.022,-18.141,139.963,-6.603
11:16:58:025,5.692,0.010,-0.007,0.014,-18.111,139.911,-6.499
11:16:58:026,5.693,0.001,0.000,0.009,-18.094,139.863,-6.525
11:16:58:054,5.721,-0.006,0.003,0.007,-18.129,139.765,-6.488
11:16:58:054,5.721,-0.005,-0.003,-0.007,-18.173,139.677,-6.429
11:16:58:055,5.722,-0.012,0.018,-0.018,-18.157,139.616,-6.460
11:16:58:215,5.882,0.010,-0.022,0.019,-18.151,139.528,-6.266
11:16:58:215,5.882,-0.005,-0.006,-0.003,-18.151,139.506,-6.262
11:16:58:216,5.883,-0.018,0.000,-0.007,-18.200,139.511,-6.392
11:16:58:342,6.009,-0.004,-0.018,0.003,-18.272,139.547,-6.375
11:16:58:4,6.067,0.014,-0.017,0.006,-18.249,139.573,-6.405
11:16:58:4,6.067,0.008,0.005,0.016,-18.277,139.553,-6.367
11:16:58:4,6.067,-0.006,0.003,-0.001,-18.352,139.510,-6.308
11:16:58:4,6.067,0.004,0.019,0.003,-18.380,139.447,-6.278
11:16:58:505,6.172,-0.004,0.003,0.003,-18.357,139.406,-6.204
11:16:58:506,6.173,0.000,0.001,-0.001,-18.322,139.359,-6.138
11:16:58:506,6.173,-0.006,0.010,-0.010,-18.293,139.297,-6.062
11:16:58:507,6.174,-0.010,0.015,-0.006,-18.316,139.271,-6.031
11:16:58:553,6.220,-0.006,-0.008,-0.009,-18.275,139.222,-5.944
11:16:58:554,6.221,0.003,-0.002,-0.004,-18.190,139.251,-5.908
11:16:58:659,6.326,0.006,0.008,0.002,-18.162,139.257,-5.857
11:16:58:659,6.326,0.004,-0.004,0.005,-18.158,139.259,-5.814
11:16:58:66,6.327,0.000,-0.002,-0.009,-18.123,139.281,-5.773
11:16:58:71,6.377,-0.001,-0.011,-0.005,-18.006,139.309,-5.671
11:16:58:711,6.378,0.010,-0.006,-0.011,-17.942,139.353,-5.633
11:16:58:76,6.427,-0.006,-0.008,-0.003,-17.927,139.378,-5.610
11:16:58:761,6.428,-0.007,-0.017,0.001,-17.930,139.401,-5.518
11:16:58:812,6.479,0.002,-0.038,-0.009,-17.915,139.431,-5.526
11:16:58:812,6.479,0.003,-0.039,-0.015,-17.851,139.498,-5.550
11:16:58:866,6.533,0.008,-0.030,-0.001,-17.875,139.568,-5.525
11:16:58:866,6.533,0.005,-0.010,0.009,-17.936,139.592,-5.487
11:16:58:976,6.643,0.001,0.002,0.001,-18.011,139.637,-5.484
11:16:58:977,6.644,0.001,0.017,0.009,-18.049,139.691,-5.506
11:16:58:977,6.644,0.005,0.018,0.014,-18.113,139.742,-5.493
11:16:58:978,6.645,0.001,0.016,0.003,-18.119,139.736,-5.454
11:16:59:023,6.690,0.001,-0.002,-0.008,-18.064,139.713,-5.404
11:16:59:133,6.799,-0.011,-0.018,0.008,-18.055,139.692,-5.359
11:16:59:133,6.799,-0.008,-0.022,0.006,-18.053,139.679,-5.321
11:16:59:134,6.800,0.004,-0.019,-0.012,-18.045,139.709,-5.327
11:16:59:135,6.801,0.000,-0.006,0.011,-18.109,139.688,-5.230
11:16:59:151,6.817,-0.007,-0.006,-0.001,-18.222,139.686,-5.213
11:16:59:179,6.845,-0.005,0.004,0.001,-18.285,139.705,-5.239
11:16:59:29,6.956,-0.003,0.007,0.012,-18.364,139.676,-5.137
11:16:59:291,6.957,-0.002,0.016,0.001,-18.387,139.681,-5.118
11:16:59:292,6.958,-0.001,0.006,0.008,-18.383,139.701,-5.108
11:16:59:292,6.958,0.005,0.006,0.004,-18.382,139.724,-5.111
11:16:59:308,6.974,0.006,-0.005,-0.003,-18.378,139.740,-5.129
11:16:59:335,7.001,0.012,-0.003,0.000,-18.371,139.783,-5.174
11:16:59:361,7.027,-0.004,-0.001,0.011,-18.375,139.793,-5.189
11:16:59:445,7.111,0.000,-0.011,0.002,-18.373,139.802,-5.191
11:16:59:445,7.111,-0.004,-0.001,0.003,-18.378,139.812,-5.213
11:16:59:467,7.133,-0.007,0.006,-0.005,-18.425,139.810,-5.196
11:16:59:524,7.190,0.000,-0.004,0.004,-18.431,139.823,-5.138
11:16:59:525,7.191,-0.002,-0.005,-0.005,-18.419,139.870,-5.162
11:16:59:525,7.191,-0.036,0.004,0.002,-18.455,139.909,-5.139
11:16:59:631,7.297,-0.007,-0.012,-0.016,-18.513,139.919,-5.055
11:16:59:631,7.297,-0.010,0.019,-0.037,-18.536,140.025,-5.125
11:16:59:632,7.298,-0.004,0.016,-0.012,-18.580,140.158,-5.085
11:16:59:683,7.349,-0.001,-0.001,0.005,-18.568,140.268,-5.097
11:16:59:683,7.349,0.006,-0.005,-0.002,-18.462,140.441,-5.138
11:16:59:683,7.349,0.013,0.002,0.010,-18.437,140.525,-5.120
11:16:59:704,7.370,0.009,-0.014,0.027,-18.436,140.657,-5.133
